,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
888,South,Median age at first sexual intercourse [Men]: 40-44,17.1,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
889,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 40-44,17.4,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
890,Grande-Anse,Median age at first sexual intercourse [Men]: 40-44,17.4,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
891,Nippes,Median age at first sexual intercourse [Men]: 40-44,17.5,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
892,North-West,Median age at first sexual intercourse [Men]: 40-44,17.5,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
893,Camps,Median age at first sexual intercourse [Men]: 40-44,16.7,2012,Median age at first sexual intercourse [Men], 40-44,Men,2012,Median age at first sexual intercourse 
894,Metropolitan area,Median age at first sexual intercourse [Men]: 45-49,16.7,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
895,Rest of West,Median age at first sexual intercourse [Men]: 45-49,16.7,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
896,South-East,Median age at first sexual intercourse [Men]: 45-49,18.0,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
897,North,Median age at first sexual intercourse [Men]: 45-49,16.5,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
898,North-East,Median age at first sexual intercourse [Men]: 45-49,17.5,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
899,Artibonite,Median age at first sexual intercourse [Men]: 45-49,17.3,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
900,Centre,Median age at first sexual intercourse [Men]: 45-49,16.6,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
901,South,Median age at first sexual intercourse [Men]: 45-49,17.2,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
902,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 45-49,17.6,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
903,Grande-Anse,Median age at first sexual intercourse [Men]: 45-49,17.8,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
904,Nippes,Median age at first sexual intercourse [Men]: 45-49,17.0,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
905,North-West,Median age at first sexual intercourse [Men]: 45-49,17.2,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
906,Camps,Median age at first sexual intercourse [Men]: 45-49,16.4,2012,Median age at first sexual intercourse [Men], 45-49,Men,2012,Median age at first sexual intercourse 
907,Metropolitan area,Median age at first sexual intercourse [Men]: 50-54,18.3,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
908,Rest of West,Median age at first sexual intercourse [Men]: 50-54,17.4,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
909,South-East,Median age at first sexual intercourse [Men]: 50-54,18.4,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
910,North,Median age at first sexual intercourse [Men]: 50-54,17.3,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
911,North-East,Median age at first sexual intercourse [Men]: 50-54,18.6,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
912,Artibonite,Median age at first sexual intercourse [Men]: 50-54,16.3,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
913,Centre,Median age at first sexual intercourse [Men]: 50-54,17.8,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
914,South,Median age at first sexual intercourse [Men]: 50-54,17.3,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
915,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 50-54,17.5,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
916,Grande-Anse,Median age at first sexual intercourse [Men]: 50-54,17.0,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
917,Nippes,Median age at first sexual intercourse [Men]: 50-54,17.8,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
918,North-West,Median age at first sexual intercourse [Men]: 50-54,17.8,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
919,Camps,Median age at first sexual intercourse [Men]: 50-54,16.5,2012,Median age at first sexual intercourse [Men], 50-54,Men,2012,Median age at first sexual intercourse 
920,Metropolitan area,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.1,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
921,Rest of West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.7,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
922,South-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.7,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
923,North,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.2,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
924,North-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.2,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
925,Artibonite,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.6,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
926,Centre,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.6,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
927,South,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.4,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
928,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.6,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
929,Grande-Anse,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.7,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
930,Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.5,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
931,North-West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.4,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
932,Camps,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.7,2012,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2012,Median age at first sexual intercourse 
933,Metropolitan area,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.3,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
934,Rest of West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.8,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
935,South-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.9,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
936,North,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.3,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
937,North-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.6,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
938,Artibonite,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.7,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
939,Centre,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.9,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
940,South,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.7,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
941,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.8,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
942,Grande-Anse,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.9,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
943,Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.8,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
944,North-West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.7,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
945,Camps,"Median age at first sexual intercourse [Men]: 25-49(54,59)",15.8,2012,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2012,Median age at first sexual intercourse 
946,Metropolitan area,Recent sexual activity: Active in last 4 weeks,43.6,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
947,Rest of West,Recent sexual activity: Active in last 4 weeks,49.2,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
948,South-East,Recent sexual activity: Active in last 4 weeks,44.3,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
949,North,Recent sexual activity: Active in last 4 weeks,46.5,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
950,North-East,Recent sexual activity: Active in last 4 weeks,43.8,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
951,Artibonite,Recent sexual activity: Active in last 4 weeks,49.9,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
952,Centre,Recent sexual activity: Active in last 4 weeks,51.6,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
953,South,Recent sexual activity: Active in last 4 weeks,44.9,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
954,Grande-Anse/Nippes,Recent sexual activity: Active in last 4 weeks,46.7,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
955,Grande-Anse,Recent sexual activity: Active in last 4 weeks,45.7,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
956,Nippes,Recent sexual activity: Active in last 4 weeks,47.7,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
957,North-West,Recent sexual activity: Active in last 4 weeks,40.6,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
958,Camps,Recent sexual activity: Active in last 4 weeks,51.8,2012,Recent sexual activity, Active in last 4 weeks,,2012,Recent sexual activity
959,Metropolitan area,Recent sexual activity [Women]: Within the last year,24.3,2012,Recent sexual activity [Women], Within the last year,Women,2012,Recent sexual activity 
